country,ttr,mtld,vocd,ngram_vs,bert_vs,roberta_vs,lexical_ngram,syntatic_score,semantic_score,mode,type
Colombia,0.0844268112908803,70.6681719803521,0.8461775910553783,22.109200872684028,0,0,0.2694340961504346,0.01930448114851209,0.26099133491516113,-1,whole_recipe
Spain,0.08890679559495031,67.15121318307087,0.8442038172781866,23.209882620289182,0,0,0.2963290579389651,0.02141140485033865,0.277310848236084,-1,whole_recipe
Venezuela,0.07841456566074542,73.97957652490051,0.8536102196189814,21.15537293984911,0,0,0.2483239474389917,0.01928075543710723,0.242631733417511,-1,whole_recipe
Peru,0.10783255643068727,74.90661577278526,0.851493297999562,40.37599005427878,0,0,0.38101048839303875,0.02742159311684707,0.27656084299087524,-1,whole_recipe
Argentina,0.07676447004532884,75.34769788343115,0.8488531011183437,21.1495904016685,0,0,0.23578631195022529,0.01754941267496659,0.24462324380874634,-1,whole_recipe
Chile,0.0861774915227031,68.03422493299989,0.8444492595498249,22.418420408693663,0,0,0.271956933506131,0.01766376122556788,0.24737495183944702,-1,whole_recipe
Mexico,0.08143674625808496,69.22158985613018,0.8436402336310529,23.263188080081335,0,0,0.2702702702702703,0.017804538538732963,0.2504570484161377,-1,whole_recipe
Colombia,0.07291237057457292,53.18306368033164,0.8212327375460379,21.923115244752964,0,0,0.24940933745965194,0.019340556914831643,0.2282557487487793,0,whole_recipe
Venezuela,0.07326363562687414,53.36404974150446,0.8260621992151732,19.836067677762863,0,0,0.2299082383785419,0.01815617838885951,0.23335212469100952,0,whole_recipe
Peru,0.06908586325792616,53.0829731011648,0.8189055454381432,25.442846734125553,0,0,0.26100483389900236,0.018345729096236194,0.2138093113899231,0,whole_recipe
Argentina,0.07106689346888721,55.834686907483345,0.8253201175738395,20.5072658471047,0,0,0.22839145399051886,0.0192324057527019,0.23009097576141357,0,whole_recipe
Chile,0.07590161460691112,52.30561744750868,0.821316756417857,20.01518593868296,0,0,0.2461178671655753,0.018358119518439832,0.21954751014709473,0,whole_recipe
Mexico,0.07449228106193265,53.43116566610561,0.8230591885867136,22.601060889217333,0,0,0.2518331530231999,0.017332070906317394,0.22522258758544922,0,whole_recipe
Colombia,0.07270389025827885,52.229759613697986,0.8210381446467991,21.93522993783494,0,0,0.24693688323730048,0.019128062231510506,0.227927565574646,0.3,whole_recipe
Venezuela,0.07331942884646238,54.39305959786186,0.8277779403441342,20.486089741469307,0,0,0.23503885356746393,0.01796160743157833,0.23529481887817383,0.3,whole_recipe
Peru,0.06960979181922795,52.79150778606437,0.8192472749152597,25.61759052351801,0,0,0.26022628372497825,0.017960979771446534,0.21543407440185547,0.3,whole_recipe
Argentina,0.07156604035634213,55.64912337980688,0.8253563654055054,20.44318925961262,0,0,0.2298492950899368,0.019247668452532812,0.2293047308921814,0.3,whole_recipe
Chile,0.07502202737841962,51.89292569273708,0.8206096592712815,19.997390581461858,0,0,0.24712318430484814,0.018486519103650675,0.2210903763771057,0.3,whole_recipe
Mexico,0.07419690339292373,51.690413359569625,0.8245419259633894,22.64823971499201,0,0,0.2509383063570256,0.01751543209876543,0.2260347604751587,0.3,whole_recipe
Colombia,0.0738695652173913,51.896221138521824,0.8209508323625742,22.283882258800205,0,0,0.24654263257387324,0.01873345550804317,0.22889268398284912,0.6,whole_recipe
Venezuela,0.072112847574589,54.37706516736834,0.827791015127136,20.91146690269844,0,0,0.24169204737732655,0.01930867263964044,0.2365020513534546,0.6,whole_recipe
Peru,0.06877470355731226,52.991669938094745,0.8198500807232898,25.442056949606624,0,0,0.2597815240796177,0.018119187047881503,0.21471863985061646,0.6,whole_recipe
Argentina,0.0721433787971498,55.96867103473021,0.8262266746015096,21.31835118256224,0,0,0.23529411764705882,0.019956345494231368,0.228895366191864,0.6,whole_recipe
Chile,0.0769280748489377,51.64379398919134,0.8209761336585335,20.535778500236745,0,0,0.25333582740990146,0.01783331972011217,0.2307363748550415,0.6,whole_recipe
Mexico,0.0755271310082942,52.81356991801546,0.823900666537152,23.32982875932781,0,0,0.25856615709014236,0.018671398811820075,0.2256077527999878,0.6,whole_recipe
Colombia,0.07655999653574676,53.3154190501201,0.8237337179139579,23.14239358119523,0,0,0.2600404507367813,0.019380501015572104,0.2336364984512329,0.9,whole_recipe
Venezuela,0.07442348008385745,55.13729263645628,0.8283535243625887,21.149725104748406,0,0,0.24313646033836492,0.01957996386148879,0.2346455454826355,0.9,whole_recipe
Peru,0.07162551698207796,53.48983340423951,0.8207114991090315,26.456728146660502,0,0,0.27271800361958654,0.018766695849327678,0.21516776084899902,0.9,whole_recipe
Argentina,0.07513155525320635,55.89334675010454,0.8259343317889598,22.1225076959343,0,0,0.24447491267587243,0.020266803488968702,0.23000484704971313,0.9,whole_recipe
Chile,0.07840860215053763,52.75093724068802,0.8237951467977406,21.877518298166542,0,0,0.2586427656850192,0.018367019570099456,0.22221940755844116,0.9,whole_recipe
Mexico,0.07519336576030619,55.01391053391053,0.8243621003779239,24.03397030942226,0,0,0.2702017970245986,0.019113387130146906,0.22721004486083984,0.9,whole_recipe
